transaction_id,date,vendor_name,description,amount,department,category
1001,2024-02-22,DHL Express,domestic shipping services,7910.64,Sales,Logistics/Freight
1002,2024-04-21,Maersk,international freight QQ4,3655.54,HR,Logistics/Freight
1003,2024-11-28,Mercer,payroll processing,9555.83,Sales,HR & Training
1004,2024-01-04,Publicis Media,social media management,20300.49,IT,Marketing
1005,2024-06-21,Dentsu Inc,brand strategy project,16842.26,Finance,Marketing
1006,2024-11-05,XPO Logistics,warehouse storage fees,21644.88,Marketing,Logistics/Freight
1007,2024-05-30,Amazon Business,ergonomic chairs,1091.0,Executive,Office Supplies
1008,2024-04-26,Celanese,polymer resin batch,13132.33,Marketing,Raw Materials
1009,2024-11-21,FedEx Freight,last-mile delivery,9115.42,Procurement,Logistics/Freight
1010,2024-12-25,Adobe Systems,cloud computing QQ3,55263.14,Finance,IT Software
1011,2024-05-18,UnitedHealth Group,dental and vision coverage,100518.14,Sales,Healthcare & Benefits
1012,2024-06-10,Accenture,audit and advisory fees,125052.36,R&D,Professional Services
1013,2024-06-10,CBRE Group,security services,26538.29,HR,Facilities
1014,2024-05-06,Hilton Worldwide,sales team flights,4708.32,Sales,Travel
1015,2024-04-22,Workday Inc,payroll processing,17177.22,IT,HR & Training
1016,2024-03-19,ADP Workforce,employee training program,34721.91,IT,HR & Training
1017,2024-08-27,Omnicom Group,creative production,25989.06,Sales,Marketing
1018,2024-10-01,ABM Industries,building maintenance contract,21087.89,Marketing,Facilities
1019,2024-01-02,3M Company,adhesives and solvents,25713.67,Marketing,Raw Materials
1020,2024-09-16,Coursera Business,benefits administration,33983.44,Executive,HR & Training
1021,2024-09-28,McKinsey & Co,audit and advisory fees,85513.06,Operations,Professional Services
1022,2024-07-04,CVS Caremark,employee health insurance QQ4,35695.53,Marketing,Healthcare & Benefits
1023,2024-02-13,Deloitte Consulting,tax advisory services,142572.92,Legal,Professional Services
1024,2024-10-08,Maersk,domestic shipping services,17514.52,IT,Logistics/Freight
1025,2024-12-19,ABM Industries,janitorial services,28009.58,HR,Facilities
1026,2024-08-19,Sodexo,cafeteria management QQ3,27189.19,Finance,Facilities
1027,2024-10-10,McKinsey & Co,legal counsel services,12944.8,HR,Professional Services
1028,2024-01-31,UnitedHealth Group,employee health insurance QQ1,145950.58,HR,Healthcare & Benefits
1029,2024-05-22,DHL Express,international freight QQ3,14311.43,Legal,Logistics/Freight
1030,2024-05-04,KPMG,tax advisory services,90669.63,Legal,Professional Services
1031,2024-06-30,Publicis Media,digital advertising campaign,41244.05,R&D,Marketing
1032,2024-06-22,IPG Mediabrands,digital advertising campaign,8333.7,Finance,Marketing
1033,2024-08-04,McKinsey & Co,tax advisory services,72805.9,IT,Professional Services
1034,2024-10-08,Sodexo,building maintenance contract,14407.66,Finance,Facilities
1035,2024-05-01,Quill Corp,office supplies bulk order,7447.75,IT,Office Supplies
1036,2024-01-31,IPG Mediabrands,brand strategy project,52555.77,IT,Marketing
1037,2024-08-20,WPP Group,media buying QQ4,55958.49,Marketing,Marketing
1038,2024-04-21,Omnicom Group,brand strategy project,15444.38,Operations,Marketing
1039,2024-10-26,MetLife,prescription drug plan,25575.58,Legal,Healthcare & Benefits
1040,2024-02-11,Mercer,employee training program,38509.6,IT,HR & Training
1041,2024-10-18,Maersk,domestic shipping services,11883.06,HR,Logistics/Freight
1042,2024-12-02,MetLife,life insurance premium,30166.93,Executive,Healthcare & Benefits
1043,2024-06-09,MetLife,prescription drug plan,52787.95,HR,Healthcare & Benefits
1044,2024-02-07,Sodexo,HVAC repair and maintenance,14802.29,Operations,Facilities
1045,2024-09-16,Hertz,executive travel QQ1,8526.88,Marketing,Travel
1046,2024-03-21,Adobe Systems,cloud computing QQ1,32714.53,Legal,IT Software
1047,2024-12-05,Workday Inc,payroll processing,13376.39,Finance,HR & Training
1048,2024-03-20,Adobe Systems,annual software license renewal,60681.25,Marketing,IT Software
1049,2024-11-20,ABM Industries,HVAC repair and maintenance,7700.72,Marketing,Facilities
1050,2024-08-04,ADP Workforce,employee training program,5507.34,Marketing,HR & Training
1051,2024-05-14,Staples Inc,printer cartridges QQ3,5278.35,IT,Office Supplies
1052,2024-02-08,Hertz,conference registration,1135.38,IT,Travel
1053,2024-08-08,LinkedIn Learning,payroll processing,22995.95,IT,HR & Training
1054,2024-04-17,W.B. Mason,office supplies bulk order,7241.93,HR,Office Supplies
1055,2024-05-01,UPS Supply Chain,freight forwarding services,19488.51,IT,Logistics/Freight
1056,2024-06-19,ServiceNow,cloud computing QQ1,60242.34,R&D,IT Software
1057,2024-01-20,Accenture,management consulting project,63555.84,Legal,Professional Services
1058,2024-04-26,McKinsey & Co,legal counsel services,52726.72,HR,Professional Services
1059,2024-02-05,Office Depot,stationery and paper,2589.52,Marketing,Office Supplies
1060,2024-01-15,Celanese,packaging materials,45088.79,Finance,Raw Materials
1061,2024-08-10,Jones Lang LaSalle,building maintenance contract,5035.27,Procurement,Facilities
1062,2024-04-07,Honeywell Materials,adhesives and solvents,108744.53,Marketing,Raw Materials
1063,2024-10-02,Amazon Business,whiteboard supplies,7441.81,HR,Office Supplies
1064,2024-12-05,Honeywell Materials,specialty materials QQ1,77793.41,Finance,Raw Materials
1065,2024-12-22,ABM Industries,cafeteria management QQ3,11133.12,Marketing,Facilities
1066,2024-07-13,Coursera Business,recruitment services QQ2,27267.32,IT,HR & Training
1067,2024-01-01,MetLife,wellness program,116368.38,Marketing,Healthcare & Benefits
1068,2024-06-13,Jones Lang LaSalle,security services,18986.52,Legal,Facilities
1069,2024-03-27,Hilton Worldwide,conference registration,7624.61,Finance,Travel
1070,2024-04-30,ABM Industries,building maintenance contract,24915.86,Marketing,Facilities
1071,2024-08-31,McKinsey & Co,management consulting project,16469.92,Executive,Professional Services
1072,2024-12-22,XPO Logistics,freight forwarding services,7277.58,R&D,Logistics/Freight
1073,2024-01-03,Hilton Worldwide,sales team flights,10184.81,Finance,Travel
1074,2024-10-12,Publicis Media,social media management,30550.24,HR,Marketing
1075,2024-10-13,XPO Logistics,last-mile delivery,17686.71,Executive,Logistics/Freight
1076,2024-03-22,Honeywell Materials,packaging materials,57942.32,Legal,Raw Materials
1077,2024-09-23,United Airlines,hotel accommodations,11721.39,Legal,Travel
1078,2024-04-30,Accenture,management consulting project,109896.28,Marketing,Professional Services
1079,2024-07-15,Dow Chemical,chemical feedstock order,24893.03,IT,Raw Materials
1080,2024-08-26,Deloitte Consulting,strategy engagement QQ4,56323.39,R&D,Professional Services
1081,2024-10-26,Office Depot,ergonomic chairs,7286.29,Operations,Office Supplies
